"WMLB e WMHT"," "
"WMLB67","WMHT67","Domingo","Sunday","","","login_sun","PositiveIntegerField","","common/models.py (class UserExtend)"
"WMLB68","WMHT68","Elemento de hora","Time element","","","element_reference","ForeignKey","Tipo de elementos que contém apenas hora","common/models.py (class TimeElement)"
"WMLB69","WMHT69","Elemento de data e hora","Date and time element","","","element_reference","ForeignKey","Tipo de elemento que contém data e hora","common/models.py (class DateTimeElement)"
"WMLB70","WMHT70","Drainage area","Área de drenagem","","","drainage_area","DecimalField","","common/models.py (class Watershed) e cemig/models.py"
"WMLB71","WMHT71","River","Rio","","","river","ManyToManyField","","common/models.py (class Watershed)"
"WMLB72","WMHT72","Watershed","Bacia hidrográfica","","","parent","ForeignKey","","common/models.py (class Watershed) e hydro/models.py (class Reservoir)"
"WMLB73","WMHT73","Element dictionary","Dicionário de elementos","","","element_dictionary","ForeignKey","","common/models.py (class ElementDictionaryEntry)"
"WMLB74","WMHT74","Element","Elemento","Elements that will have data displayed in the chart","Elementos que terão dados apresentados no gráfico","element","ForeignKey","","common/models.py (class ElementDictionaryEntry e Summary e FormatElement)"
"WMLB75","WMHT75","Time resolution","Resolução temporal","Temporal resolution of the element(s) of the chart","Resolução temporal do(s) elemento(s) do gráfico","time_resolution","ForeignKey","","common/models.py (class ElementDictionaryEntry e Summary)"
"WMLB76","WMHT76","Message tag","Tag da mensagem","","","message_tag","CharField","","common/models.py (class ElementDictionaryEntry)"
"WMLB77","WMHT77","Administrative region","Região administrativa","Administrative region where the station is installed (ex: state, province, region, county, shire, etc)","Região administrativa onde está instalada a estação (ex.:  estado, província, região, condado, etc)","administrative_region","ForeignKey","","common/models.py (class Location)"
"WMLB78","WMHT78","Code","Código","","","code","CharField","","common/models.py (class Location) e hydro/models.py"
"WMLB79","WMHT79","Cota operativa mínima","Cota operativa mínima","","","cota_operativo_minimo","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB80","WMHT80","Background color","Cor de fundo","","","bg_color","ColorField","","common/models.py (class QualityFlag)"
"WMLB81","WMHT81","Secondary background color","Cor de fundo secundária","","","secondary_bg_color","ColorField","Label para Cor de Fundo Secundária para tela de admin do Controle de Qualidade","common/models.py (class QualityFlag)"
"WMLB82","WMHT82","Font color","Cor da fonte","","","font_color","ColorField","","common/models.py (class QualityFlag)"
"WMLB83","WMHT83","Format","Formato","","","format_id","ForeignKey","","common/models.py (class FormatElement e DataFeed) e map/models.py"
"WMLB84","WMHT84","URL","URL","","","url","CharField","","common/models.py (class DataFeed)"
"WMLB85","WMHT85","Feature type","Tipo de atributo","","","feature_type","ForeignKey","","common/models.py (class DataFeed)"
"WMLB86","WMHT86","Cota operativa máxima","Cota operativa máxima","","","cota_operativo_maximo","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB87","WMHT87","Percentage","Porcentagem","","","percentage","IntegerField","","common/models.py (class Summary)"
"WMLB89","WMHT89","Volume útil","Volume útil","","","volume_util","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB90","WMHT90","Cota sobrecarga induzida","Cota sobrecarga induzida","","","cota_sobrecarga_induzida","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB91","WMHT91","Cota máximo maximorum","Cota máximo maximorum","","","cota_máximo_maximorum","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB92","WMHT92","Volume operativo mínimo","Volume operativo mínimo","","","volume_operativo_mínimo","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB93","WMHT93","Volume operativo máximo","Volume operativo máximo","","","volume_operativo_máximo","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB94","WMHT94","Volume máximo maximorum","Volume máximo maximorum","","","volume_maxima_maximorum","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB95","WMHT95","Volume sobrecarga induzida","Volume sobrecarga induzida","","","volume_sobrecarga_induzida","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB96","WMHT96","Área operativa mínimo","Área operativa mínimo","","","area_operativa_minimo","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB97","WMHT97","Área operativa máximo","Área operativa máximo","","","area_operativa_máximo","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB98","WMHT98","Área máximo maximorum","Área máximo maximorum","","","area_maximo_maximorum","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB99","WMHT99","Área sobrecarga induzida","Área sobrecarga induzida","","","area_sobrecarga_induzida","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB100","WMHT100","Volume morto","Volume morto","","","volume_morto","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB101","WMHT101","Volume total","Volume total","","","volume_total","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB102","WMHT102","Cota crista vertedouro","Cota crista vertedouro","","","cota_crista_vertedouro","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB103","WMHT103","Cota coroamento","Cota coroamento","","","cota_coroamento","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB104","WMHT104","Cota soleira comporta","Cota soleira comporta","","","cota_soleira_comporta","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB105","WMHT105","Cota eixo válvula fundo","Cota eixo válvula fundo","","","Cota_eixo_válvula_fundo","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB106","WMHT106","PCH","PCH","Pequena central hidroelétrica","Pequena central hidroelétrica","pch","BooleanField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB107","WMHT107","Capacidade nominal (kVA)","Capacidade nominal kva","Capacidade nominal (kVA)","Capacidade nominal (kVA)","capacidade_nominal_kva","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB108","WMHT108","Capacidade efetiva kva","Capacidade efetiva kva","","","capacidade_efetiva_kva","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB109","WMHT109","Capacidade nominal kw","Capacidade nominal kw","","","capacidade_nominal_kw","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB110","WMHT110","Capacidade efetiva kw","Capacidade efetiva kw","","","capacidade_efetiva_kw","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB111","WMHT111","Energia segurada","Energia segurada","","","energia_segurada","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB112","WMHT112","Produtividade média","Produtividade média","","","produtividade_média","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB113","WMHT113","Produtividade específica","Produtividade específica","","","produtividade_específica","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB114","WMHT114","Cota desapropriação","Cota desapropriação","","","cota_desapropriacao","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB115","WMHT115","Queda média","Queda média","Queda média (m)","Queda média (m)","queda_media","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB116","WMHT116","Queda nominal","Queda nominal","Queda nominal (m)","Queda nominal (m)","queda_nominal","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB117","WMHT117","Queda efetiva","Queda efetiva","Queda efetiva (m)","Queda efetiva (m)","queda_efetiva","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB118","WMHT118","Queda operativa mínima","Queda operativa mínima","Queda operativa mínima (m)","Queda operativa mínima (m)","queda_operativa_mínima","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB119","WMHT119","Queda operativa máxima","Queda operativa máxima","Queda operativa máxima (m)","Queda operativa máxima (m)","queda_operativa_máxima","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB120","WMHT120","Valor engolimento","Valor engolimento","","","valor_engolimento","DecimalField","","cemig/models.py (class Usina)"
"WMLB121","WMHT121","Cota canal fuga mínimo","Cota canal fuga mínimo","","","cota_canal_fuga_mínimo","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB122","WMHT122","Cota canal fuga médio","Cota canal fuga médio","","","cota_canal_fuga_médio","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB123","WMHT123","Cota canal fuga máximo","Cota canal fuga máximo","","","Cota_canal_fuga_máximo","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB124","WMHT124","Perdas","Perdas","Perdas (m)","Perdas (m)","perdas","DecimalField","","cemig/models.py (class Usina) e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB125","WMHT125","Código eletrobras","Código eletrobras","","","código_eletrobras","DecimalField","","cemig/models.py (class Usina)"
"WMLB126","WMHT126","Vertimento máximo","Vertimento máximo","","","vertimento_máximo","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB127","WMHT127","Defluência máxima","Defluência máxima","","","defluência_máxima","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB128","WMHT128","Afluência máxima diária","Afluência máxima diária","","","afluência_máxima_diária","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB129","WMHT129","Defluência máxima diária","Defluência máxima diária","","","defluência_máxima_diária","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB130","WMHT130","Vazão restrição","Vazão restrição","","","vazão_restricao","DecimalField","","cemig/models.py (class Reservatorio)"
"WMLB131","WMHT131","Data monitoria","Data monitoria","","","data_monitoria","DateTimeField","","cemig/models.py (class Reservatorio)"
"WMLB132","WMHT132","Intervalo operação normal","Intervalo operação normal","","","intervalo_operacao_normal","TimeField","","cemig/models.py (class Reservatorio)"
"WMLB133","WMHT133","Intervalo regime alerta","Intervalo regime alerta","","","intervalo_regime_alerta","TimeField","","cemig/models.py (class Reservatorio)"
"WMLB134","WMHT134","Data início enchimento","Data início enchimento","","","data_início_enchimento","DateTimeField","","cemig/models.py (class Reservatorio)"
"WMLB135","WMHT135","Responsável monitoria","Responsável monitoria","","","responsável_monitoria","CharField","","cemig/models.py (class Reservatorio)"
"WMLB136","WMHT136","Defasagem operação normal","Defasagem operação normal","","","defasagem_operacao_normal","TimeField","","cemig/models.py (class Reservatorio)"
"WMLB137","WMHT137","Defasagem operação emergência","Defasagem operação emergência","","","defasagem_operacao_emergencia","TimeField","","cemig/models.py (class Reservatorio)"
"WMLB138","WMHT138","Document","Documento","","","documents","ManyToManyField","","hydro/models.py (class Reservoir)"
"WMLB139","WMHT139","Turbines","Número de turbinas","","","num_turbines","IntegerField","","hydro/models.py (class PowerPlant)"
"WMLB140","WMHT140","Global flow estimation","Cálculo global de vazão","","","turbine_global_calc","BooleanField","","hydro/models.py (class PowerPlant e ReservoirComponentType)"
"WMLB141","WMHT141","Start date","Data de início","","","start_date","DateTimeField","","hydro/models.py (class AssuredVolume)"
"WMLB142","WMHT142","End date","Data de fim","","","end_date","DateTimeField","","hydro/models.py (class AssuredVolume)"
"WMLB143","WMHT143","Useful volume","Volume útil","","","useful_volume","FloatField","","hydro/models.py (class AssuredVolume e ReservoirLevelVolumeArea)"
"WMLB144","WMHT144","Total volume","Volume total","","","total_volume","DecimalField","","hydro/models.py (class ReservoirLevelVoulmeArea)"
"WMLB145","WMHT145","Area","Área","","","area","DecimalField","","hydro/models.py (class ReservoirLevelVoulmeArea)"
"WMLB146","WMHT146","Reservoir discharge type","Tipo de descarga do reservatório","","","reservoir_discharge_type","ForeignKey","","hydro/models.py (class ReservoirComponentType)"
"WMLB147","WMHT147","Reservoir component","Componente do reservatório","","","reservoir_component","ForeignKey","","hydro/models.py (class ReservoirComponentDischarge)"
"WMLB148","WMHT148","Opening","Abertura","","","opening","DecimalField","","hydro/models.py (class ReservoirComponentDischarge)"
"WMLB149","WMHT149","Discharge","Descarga","","","discharge","DecimalField","","hydro/models.py (class ReservoirComponentDischarge)"
"WMLB150","WMHT150","Powerplant","Usina","","","powerplant","ForeignKey","","hydro/models.py (class PowerPlantTurbine)"
"WMLB151","WMHT151","Powerplant turbine","Turbina de usina","","","powerplant_turbine","ForeignKey","","hydro/models.py"
"WMLB152","WMHT152","Production coefficient","Coeficiente de produção","","","production_coefficient","","","hydro/models.py"
"WMLB153","WMHT153","Latitude","Latitude","Latitude da posição geográfica da usina","Latitude da posição geográfica da usina","latitude","DecimalField","","hydro/models.py e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB154","WMHT154","Longitude","Longitude","Longitude da posição geográfica da usina","Longitude da posição geográfica da usina","longitude","DecimalField","","hydro/models.py e cemig/template/cemig/content-management-powerplant-form.html"
"WMLB155","WMHT155","CRS","CRS","","","crs","CharField","","map/models.py"
"WMLB156","WMHT156","Minimum latitude","Latitude mínima","","","min_latitude","DecimalField","","map/models.py"
"WMLB157","WMHT157","Maximum latitude","Latitude máxima","","","max_latitude","DecimalField","","map/models.py"
"WMLB158","WMHT158","Minimum longitude","Longitude mínima","","","min_longitude","DecimalField","","map/models.py"
"WMLB159","WMHT159","Maximum longitude","Longitude máxima","","","max_longitude","DecimalField","","map/models.py"
"WMLB160","WMHT160","Zoom type","Tipo de zoom","","","zoom_type","CharField","","map/models.py"
"WMLB161","WMHT161","Point","Ponto","","","center","ForeignKey","","map/models.py"
"WMLB162","WMHT162","Minimum zoom","Zoom mínimo","","","min_zoom","PositiveIntegerField","","map/models.py"
"WMLB163","WMHT163","Maximum zoom","Zoom máximo","","","max_zoom","PositiveIntegerField","","map/models.py"
"WMLB164","WMHT164","Scene mode","Modo de cena","","","scene_mode","CharField","","map/models.py"
"WMLB165","WMHT165","Maximum extent","Extensão máxima","","","max_extent","ForeignKey","","map/models.py"
"WMLB166","WMHT166","Zoom","Zoom","","","zoom","ForeignKey","","map/models.py"
"WMLB167","WMHT167","Layer type","Tipo de camada","","","layer_type","CharField","","map/models.py"
"WMLB168","WMHT168","Layer","Camada","","","layer","CharField","","map/models.py"
"WMLB169","WMHT169","Attribution","Atribuição","","","attribution","CharField","","map/models.py"
"WMLB170","WMHT170","Base class","Classe base","","","base_class","CharField","","map/models.py"
"WMLB171","WMHT171","Params","Parâmetros","","","params","JSONField","","map/models.py"
"WMLB172","WMHT172","Transparent","Transparente","","","transparent","BooleanField","","map/models.py"
"WMLB173","WMHT173","View name","Nome da view","","","view","ForeignKey","","map/models.py"
"WMLB174","WMHT174","Opacity","Opacidade","","","opacity","DecimalField","","map/models.py"
"WMLB175","WMHT175","Base layer","Camada base","","","base_layer","BooleanField","","map/models.py"
"WMLB176","WMHT176","Visible","Visível","","","visible","BooleanField","","map/models.py"
"WMLB177","WMHT177","Map","Mapa","","","map","ForeignKey","","map/models.py"
"WMLB178","WMHT178","Stations","Estações","Name of the stations which will appear on the chart","Nome das estações que deseja que apareçam no gráfico.","station","ForeignKey","","station/models.py"
"WMLB179","WMHT179","Element","Elemento","","","element","ForeignKey","","station/models.py"
"WMLB180","WMHT180","Time resolution","Resolução temporal","Temporal resolution of the element(s) of the chart","Resolução temporal do(s) elemento(s) do gráfico","time_resolution","ForeignKey","","station/models.py"
"WMLB181","WMHT181","Data type","Tipo de dado","","","data_type","ForeignKey","","station/models.py"
"WMLB182","WMHT182","External tag","Tag externa","","","external_tag","CharField","","station/models.py"
"WMLB183","WMHT183","Date of the first value measured","Data do primeiro valor registrado","","","date_first_record","DateTimeField","","station/models.py"
"WMLB184","WMHT184","Date of the last value measured","Data do último valor registrado","","","date_last_record","DateTimeField","","station/models.py"
"WMLB185","WMHT185","Minimum value already measured","Mínimo valor já registrado","","","lower_value","FloatField","","station/models.py"
"WMLB186","WMHT186","Maximum value already measured","Máximo valor já registrado","","","highest_value","FloatField","","station/models.py"
"WMLB187","WMHT187","Last value measured","Último valor registrado","","","last_value","FloatField","","station/models.py"
"WMLB188","WMHT188","Temporarily disable display","Desabilitar visualização","","","hide","BooleanField","","station/models.py"
"WMLB189","WMHT189","Minimum number of measures","Número mínimo de leituras","","","min_number_measures","IntegerField","","station/models.py"
"WMLB190","WMHT190","Maximum number of measures","Número máximo de leituras","","","max_number_measures","IntegerField","","station/models.py"
"WMLB191","WMHT191","Delta/variation","Delta/variação","","","step_delta","IntegerField","","station/models.py"
"WMLB192","WMHT192","Maximum variation","Variação máxima","","","spike_max_delta","IntegerField","","station/models.py"
"WMLB193","WMHT193","Minimum variation","Variação mínima","","","persist_min_delta","IntegerField","","station/models.py"
"WMLB194","WMHT194","Interval","Intervalo","","","interval","IntegerField","","station/models.py"
"WMLB195","WMHT195","Maximum value to notify","Valor máximo para notificar","","","notification_max_value","IntegerField","","station/models.py"
"WMLB196","WMHT196","Minimum value to notify","Valor mínimo para notificar","","","notification_min_value","IntegerField","","station/models.py"
"WMLB197","WMHT197","Minimum limit","Limite mínimo","","","range_min_value","IntegerField","","station/models.py"
"WMLB198","WMHT198","Maximum limit","Limite máximo","","","tange_max_value","IntegerField","","station/models.py"
"WMLB199","WMHT199","Quality flag","Sinal de qualidade","Filter options to quality control","Opções de filtro para o controle de qualidade","last_value_quality_flag","ForeignKey","","station/models.py"
"WMLB200","WMHT200","ICAO code","Código ICAO","International Civil Aviation Organization (ICAO) Code for the station","Código International Civil Aviation Organization (ICAO) da estação","icao_code","CharField","","station/models.py"
"WMLB201","WMHT201","Station  type","Tipo de estação","","","station_type","ForeignKey","","station/models.py"
"WMLB202","WMHT202","Automatic","Automática","Type of the data collect on the station.","Tipo de coleta de dados utilizado pela estação","is_automatic","BooleanField","","station/models.py"
"WMLB203","WMHT203","Position","Posição","","","position","PointField","","station/models.py"
"WMLB204","WMHT204","Altitude","Altitude","Station altitude","Altitude da estação","elevation_meters","IntegerField","","station/models.py"
"WMLB205","WMHT205","Timezone","Fuso horário","Timezone of the station","Fuso horário da estação","timezone","TimeZoneField","","station/models.py"
"WMLB206","WMHT206","Installation date","Data de instalação","Instalation date of the station","Data de instalação da estação","installation_date","DateField","","station/models.py"
